question,answer,age_all,age_18_34,age_35_64,age_65+,race_white,race_non_white,has_children,no_children,straight,gay_bisexual
"In general, how masculine or ""manly"" do you feel?",,,,,,,,,,,
,Very masculine,0.37,0.29,0.42,0.37,0.34,0.44,0.43,0.3,0.4,0.21
,Somewhat masculine,0.46,0.47,0.46,0.47,0.5,0.39,0.47,0.46,0.47,0.49
,Not very masculine,0.11,0.13,0.09,0.13,0.11,0.11,0.06,0.17,0.1,0.19
,Not at all masculine,0.05,0.1,0.02,0.03,0.04,0.06,0.03,0.06,0.03,0.1
,No answer,0.01,0.0,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.0
How important is it to you that others see you as masculine?,,,,,,,,,,,
,Very important,0.16,0.18,0.17,0.13,0.11,0.26,0.17,0.15,0.16,0.11
,Somewhat important,0.37,0.38,0.37,0.32,0.38,0.35,0.37,0.37,0.38,0.33
,Not too important,0.28,0.18,0.31,0.37,0.32,0.2,0.29,0.27,0.29,0.36
,Not at all important,0.18,0.26,0.15,0.18,0.18,0.19,0.17,0.21,0.17,0.19
,No answer,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Where have you gotten your ideas about what it means to be a good man? (Select all that apply.),,,,,,,,,,,
,Father or father figure(s),0.64,0.58,0.66,0.64,0.65,0.6,0.67,0.6,0.65,0.59
,Mother or mother figure(s),0.41,0.42,0.41,0.42,0.42,0.4,0.43,0.39,0.41,0.4
,Friends,0.35,0.42,0.33,0.31,0.35,0.36,0.31,0.4,0.34,0.43
,Other family members,0.35,0.37,0.36,0.31,0.34,0.37,0.36,0.34,0.35,0.37
,Pop culture,0.23,0.42,0.17,0.12,0.21,0.29,0.13,0.35,0.2,0.44
,Other (please specify),0.17,0.11,0.18,0.21,0.18,0.13,0.2,0.12,0.18,0.1
Do you think that society puts pressure on men in a way that is unhealthy or bad for them?,,,,,,,,,,,
,Yes,0.6,0.7,0.57,0.53,0.58,0.65,0.56,0.66,0.58,0.81
,No,0.39,0.29,0.42,0.47,0.41,0.35,0.44,0.34,0.41,0.19
,No answer,0.01,0.0,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.0
Ask a friend for professional advice,,,,,,,,,,,
,Often,0.15,0.26,0.12,0.05,0.11,0.23,0.12,0.18,0.14,0.26
,Sometimes,0.42,0.36,0.46,0.4,0.43,0.39,0.44,0.4,0.42,0.43
,Rarely,0.23,0.13,0.25,0.35,0.28,0.14,0.26,0.2,0.25,0.14
,"Never, but open to it",0.12,0.15,0.11,0.12,0.12,0.12,0.09,0.16,0.12,0.12
,"Never, and not open to it",0.07,0.09,0.05,0.06,0.05,0.1,0.07,0.06,0.07,0.04
,No answer,0.01,0.0,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.0
Ask a friend for personal advice,,,,,,,,,,,
,Often,0.14,0.22,0.12,0.05,0.11,0.18,0.11,0.17,0.11,0.29
,Sometimes,0.41,0.39,0.45,0.36,0.43,0.39,0.43,0.39,0.43,0.37
,Rarely,0.27,0.17,0.28,0.39,0.29,0.22,0.31,0.23,0.29,0.2
,"Never, but open to it",0.1,0.11,0.09,0.1,0.1,0.09,0.08,0.12,0.09,0.11
,"Never, and not open to it",0.07,0.09,0.05,0.07,0.05,0.1,0.06,0.08,0.06,0.02
,No answer,0.01,0.02,0.01,0.03,0.01,0.01,0.01,0.02,0.01,0.0
"Express physical affection to male friends, like hugging, rubbing shoulders",,,,,,,,,,,
,Often,0.14,0.21,0.11,0.11,0.12,0.17,0.11,0.17,0.1,0.44
,Sometimes,0.28,0.25,0.31,0.25,0.29,0.27,0.29,0.27,0.29,0.23
,Rarely,0.25,0.19,0.28,0.3,0.27,0.21,0.27,0.23,0.27,0.2
,"Never, but open to it",0.1,0.14,0.07,0.09,0.09,0.11,0.08,0.11,0.09,0.11
,"Never, and not open to it",0.22,0.21,0.23,0.23,0.22,0.23,0.24,0.2,0.25,0.02
,No answer,0.01,0.0,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.0
Cry,,,,,,,,,,,
,Often,0.07,0.13,0.05,0.03,0.06,0.1,0.03,0.12,0.04,0.26
,Sometimes,0.33,0.35,0.33,0.3,0.33,0.32,0.32,0.33,0.3,0.48
,Rarely,0.38,0.3,0.42,0.41,0.41,0.32,0.42,0.34,0.41,0.23
,"Never, but open to it",0.1,0.08,0.1,0.12,0.11,0.08,0.11,0.08,0.11,0.02
,"Never, and not open to it",0.09,0.14,0.06,0.06,0.06,0.15,0.07,0.1,0.1,0.01
,No answer,0.04,0.0,0.04,0.09,0.04,0.03,0.05,0.03,0.05,0.01
Get in a physical fight with another person,,,,,,,,,,,
,Often,0.02,0.05,0.01,0.0,0.0,0.05,0.01,0.03,0.02,0.05
,Sometimes,0.05,0.1,0.02,0.05,0.05,0.05,0.04,0.06,0.04,0.04
,Rarely,0.23,0.22,0.26,0.17,0.22,0.25,0.24,0.21,0.25,0.14
,"Never, but open to it",0.19,0.19,0.21,0.14,0.2,0.17,0.21,0.17,0.19,0.16
,"Never, and not open to it",0.5,0.43,0.5,0.64,0.52,0.47,0.49,0.52,0.5,0.61
,No answer,0.01,0.02,0.01,0.01,0.0,0.03,0.0,0.02,0.01,0.0
"Have sexual relations with women, including anything from kissing to sex",,,,,,,,,,,
,Often,0.37,0.41,0.39,0.28,0.39,0.34,0.45,0.29,0.42,0.12
,Sometimes,0.26,0.11,0.31,0.34,0.25,0.27,0.27,0.24,0.28,0.06
,Rarely,0.13,0.14,0.12,0.16,0.14,0.12,0.12,0.14,0.13,0.08
,"Never, but open to it",0.1,0.19,0.06,0.09,0.09,0.13,0.07,0.15,0.08,0.25
,"Never, and not open to it",0.11,0.16,0.1,0.09,0.11,0.13,0.07,0.17,0.06,0.47
,No answer,0.02,0.0,0.02,0.04,0.02,0.02,0.02,0.01,0.02,0.02
"Have sexual relations with men, including anything from kissing to sex",,,,,,,,,,,
,Often,0.05,0.1,0.04,0.01,0.04,0.08,0.01,0.09,0.0,0.41
,Sometimes,0.04,0.06,0.04,0.02,0.03,0.07,0.02,0.07,0.02,0.21
,Rarely,0.03,0.06,0.02,0.01,0.04,0.02,0.01,0.06,0.02,0.18
,"Never, but open to it",0.06,0.12,0.03,0.06,0.05,0.08,0.04,0.09,0.03,0.17
,"Never, and not open to it",0.8,0.65,0.86,0.86,0.83,0.74,0.91,0.68,0.92,0.02
,No answer,0.01,0.0,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0.01
Watch sports of any kind,,,,,,,,,,,
